t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
5.303,-0.1898,-1.0000,-0.0000,0.1898,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.323,-0.1869,-1.0000,-0.0000,0.1869,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.343,-0.1795,-1.0000,-0.0000,0.1795,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.364,-0.1766,-1.0000,-0.0000,0.1766,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.383,-0.1766,-1.0000,-0.0000,0.1766,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.404,-0.1766,-1.0000,-0.0000,0.1766,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.423,-0.1706,-1.0000,-0.0000,0.1706,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.444,-0.1706,-1.0000,-0.0000,0.1706,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.463,-0.1706,-1.0000,-0.0000,0.1706,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.483,-0.1706,-1.0000,-0.0000,0.1706,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.503,-0.1662,-1.0000,-0.0000,0.1662,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.523,-0.1662,-1.0000,-0.0000,0.1662,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.543,-0.1662,-1.0000,-0.0000,0.1662,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.563,-0.1618,-1.0000,-0.0000,0.1618,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.583,-0.1559,-1.0000,-0.0000,0.1559,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.604,-0.1559,-1.0000,-0.0000,0.1559,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.623,-0.1559,-1.0000,-0.0000,0.1559,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.643,-0.1514,-1.0000,-0.0000,0.1514,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
5.664,-0.1485,-1.0000,-0.0000,1.1485,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.685,-0.1485,-1.0000,-0.0000,1.1485,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.703,-0.1441,-1.0000,-0.0000,1.1441,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.723,-0.1441,-1.0000,-0.0000,1.1441,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.743,-0.1441,-1.0000,-0.0000,1.1441,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.763,-0.1441,-1.0000,-0.0000,1.1441,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.783,-0.1441,-1.0000,-0.0000,1.1441,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.803,-0.1382,-1.0000,-0.0000,1.1382,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.823,-0.1382,-1.0000,-0.0000,1.1382,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.845,-0.1382,-1.0000,-0.0000,1.1382,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.863,-0.1337,-1.0000,-0.0000,1.1337,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.883,-0.1293,-1.0000,-0.0000,1.1293,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.903,-0.1293,-1.0000,-0.0000,1.1293,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.923,-0.1293,-1.0000,-0.0000,1.1293,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.944,-0.1293,-1.0000,-0.0000,1.1293,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.963,-0.1249,-1.0000,-0.0000,1.1249,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
5.984,-0.1249,-1.0000,-0.0000,1.1249,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.003,-0.1249,-1.0000,-0.0000,1.1249,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.023,-0.1190,-1.0000,-0.0000,1.1190,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
