t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
3.484,-0.3228,-1.0000,-0.0000,1.3228,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.503,-0.3228,-1.0000,-0.0000,1.3228,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.523,-0.3209,-1.0000,-0.0000,1.3209,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.543,-0.3209,-1.0000,-0.0000,1.3209,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.564,-0.3209,-1.0000,-0.0000,1.3209,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.583,-0.3191,-1.0000,-0.0000,1.3191,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.603,-0.3172,-1.0000,-0.0000,1.3172,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.624,-0.3172,-1.0000,-0.0000,1.3172,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.643,-0.3172,-1.0000,-0.0000,1.3172,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.664,-0.3172,-1.0000,-0.0000,1.3172,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.683,-0.3135,-1.0000,-0.0000,1.3135,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.704,-0.3135,-1.0000,-0.0000,1.3135,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.723,-0.3135,-1.0000,-0.0000,1.3135,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.744,-0.3099,-1.0000,-0.0000,1.3099,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.763,-0.3080,-1.0000,-0.0000,1.3080,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.784,-0.3080,-1.0000,-0.0000,1.3080,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.803,-0.3080,-1.0000,-0.0000,1.3080,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.825,-0.3080,-1.0000,-0.0000,1.3080,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.845,-0.3062,-1.0000,-0.0000,1.3062,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
